GKGRECORDID,DATE,first_sentence
20150901153000-2419,2015-09-01,Online gambling firm 888 Holdings has sweetened its offer for bigger peer Bwin.party in a last ditch attempt to edge out rival GVC Holdings.
20150901153000-428,2015-09-01,Punch Taverns expects to post a slight fall in full year profits but said it was getting back on track as it continues to dispose of its less profitable pubs to cut its debt mountain.
20150902013000-1381,2015-09-02,The boss of Asos is stepping down after 15 years at the helm of one of Britain’s most successful digital businesses.
20150902013000-1877,2015-09-02," Home improvements firm Entu has pulled the plug on its solar division, less than a week after the Government revealed plans to slash subsidies for householders who install solar panels on their roofs."
20150902013000-1980,2015-09-02," Storm clouds are gathering over the global economy and growth will be even weaker than previously feared, according to the International Monetary Fund."
20150902013000-907,2015-09-02,A grass roots rebellion is building among the bosses of small challenger banks against George Osborne’s plans to hit them with a tax hike.
20150902013000-930,2015-09-02,Selling off batches of pubs has helped Punch Taverns cut its debt pile to £1.4bn.
20150902104500-1786,2015-09-02, 17.35:The FTSE 100 closed up 24.77 points at 6083.31 as US jobs and productivity growth figures cheered investors following recent market turbulence.
20150902104500-1889,2015-09-02," British manufacturers have shed jobs for the first time in more than two years as the strong pound, weak demand in Europe and the slowdown in China hit production, according to a report."
20150902154500-2085,2015-09-02,Industrial equipment hire firm Ashtead was the top FTSE 100 riser today with shares up more than 5 per cent as it reassured investors with strong revenue growth and rising profit at the start of its financial year.
20150902154500-216,2015-09-02,"Lego said strong sales in Asia and new launches such as its Jurassic World, Elves and Ninjago sets helped boost half-year profits for the world's best-selling toy firm."
20150902154500-224,2015-09-02,"Housebuilding spiked in August and helped boost growth in Britain's important construction sector, an industry survey revealed today, although the growth was a little below forecasts."
20150903003000-2106,2015-09-03," Being Lord Mayor of the City of London is not all gold-embroidered robes, frilly collars and feathered hats."
20150903003000-218,2015-09-03, Champagne corks popped in the Cobham-based boardroom of Berkeley Group after the upmarket housebuilder moved to join the Footsie elite.
20150903003000-2583,2015-09-03,"The chairman of Quindell yesterday launched an extraordinary attack on ousted predecessor Rob Terry, saying that the company’s reputation would have been ‘shot to pieces’ if it had kept him on a moment longer."
20150903003000-2597,2015-09-03,"Lord Michael Howard has defended his decision to join the board of Quindell, saying he will help banish the ‘shadow’ cast by previous management at the technology firm."
20150903003000-2875,2015-09-03, City analysts fuelled speculation departing Asos boss Nick Robertson will sell down his holding in the business he founded following confirmation he is standing aside.
20150903003000-95,2015-09-03," Sterling hit a fresh three month low against the dollar today, falling 0.4 per cent to $1.5241 as investors again extended bets the Bank of England will not raise interest rates until well into next year following a weak report on Britain's dominant services sector."
20150903101500-1593,2015-09-03,Supermarket chain Tesco is in the process of selling its Korean business to Asian-focused private equity firm MBK Partners in a £4billion-plus deal.
20150903101500-2112,2015-09-03,17.20 (close):Global markets surged today on hopes of more stimulus by the European Central Bank (ECB) should the turmoil in China weigh on growth prospects.
20150903101500-765,2015-09-03,"A combination of the miserable summer in the UK and a strong pound helped easyJet boost traffic numbers and raise its full year profit outlook as Britons, desperate for sun, flew away in August."
20150903143000-2388,2015-09-03,Train and buses operator Go Ahead was the biggest FTSE 250 faller this morning after it pushed back the profits target for its bus division as it posted a slide in full year results.
20150903143000-2921,2015-09-03,"The Co-operative Group said profits for this year will be hit as it ramps up investment to turn around its fortunes, despite returning to the black in the first half."
20150903190000-402,2015-09-03,17.20 (close):Global markets surged today on hopes of more stimulus by the European Central Bank (ECB) should the turmoil in China weigh on growth prospects.
20150903234500-1075,2015-09-03,Net-a-Porter founder Natalie Massenet has secured a £100million payday as she quits the luxury fashion business following a clash with its new owners.
20150903234500-1595,2015-09-03,Leisure guru Mark Brumby at Langton Capital believes Dart Group is going places.
20150903234500-1925,2015-09-03,The recovery at funeral homes and supermarket owner The Co-op Group appears to be on track after rising sales at its convenience stores – as well as an ‘unprecedented death rate’ – helped push it back into the black.
20150903234500-206,2015-09-03,The bean counter who presided over five profits warnings at Mulberry will leave the luxury handbag maker after eight years.
20150903234500-2769,2015-09-03,Sir Howard Davies finally started his new job as chairman of Royal Bank of Scotland on Tuesday.
20150903234500-296,2015-09-03,Shares in easyJet climbed nearly 6 per cent as it raised its full year profit forecast after holidaymakers desperate for summer sun helped it post record passenger numbers in August.
20150903234500-529,2015-09-03,Britain’s first new nuclear power station for a generation has encountered yet another delay.
20150904090000-1742,2015-09-04,Innovative firm Dyson saw profits surge last year as demand from the booming middle-classes in Asia grew and sales in China doubled.
20150904093000-1636,2015-09-04,"CLOSE:The FTSE 100 closed down 151.2 points, or 2.4 per cent, at 6043, wiping £38.7billion off the collective value and more than reversing a surge of over 110 points in the previous session.."
20150904093000-2547,2015-09-04,Sir Howard Davies finally started his new job as chairman of Royal Bank of Scotland on Tuesday.
20150904143000-2694,2015-09-04,"Sportingbet owner GVC looks to be the winner after a lengthy takeover tussle for FoxyBingo firm Bwin.party, which has jilted 888 Holdings in favour of its £1.1billion cash-and-shares offer."
20150904193000-1277,2015-09-04,Global markets closed the week with hefty losses after a rollercoaster last five days saw a dismal round of factory data from around the world and mixed labour statistics from the US trigger an investors' sell-off.
20150904234500-15,2015-09-04,Britons opting for summer holidays in Europe and fewer visits from tourists due to the strong pound during August led to a slump in High Street sales.
20150904234500-1665,2015-09-04,AstraZeneca has been boosted by US regulatory approval for a new dose of its blood thinner Brilinta for longer-term use in heart attack patients.
20150904234500-2402,2015-09-04,"Persistent buying helped EMIS Group close in the best of health, rising 68p to an all-time high of 1005p following strong interims."
20150904234500-2441,2015-09-04,The prospect of a hike in US interest rates this month is still on the cards despite disappointing jobs figures from the world’s biggest economy.
20150905224500-1359,2015-09-05,Losses at Hand Picked Hotels – the 21-strong country house chain owned by financier Guy Hands and his wife Julia – have fallen due to increased occupancy and room rates.
20150905224500-155,2015-09-05,Pressure is mounting on the Ministry of Defence to choose American aircraft maker Boeing to supply Britain’s next generation fleet of Apache attack helicopters after the price of each machine was slashed to just $13 million (£8.5 million).
20150905224500-215,2015-09-05,Discount clothing retailer Primark is poised to take on the American market – aiming to replicate the success of European giants such as Zara and H&M.
20150907113000-1048,2015-09-07,"Tesco has agreed to sell its Korean business Homeplus to Asian-focused private equity firm MBK Partners in a £4.2billion deal, it confirmed today."
20150907113000-1110,2015-09-07,"Declining sugar prices and a slowdown in sales at Primark mean profits at Associated British Foods will be hit, the food and retail giant has warned."
20150907113000-141,2015-09-07,  17.35:The FTSE 100 closed up 31.60 points at 6074.52 as Wall Street stayed shut while the US celebrated Labor Day.
20150907113000-433,2015-09-07,"Tony Pidgley, the founder of Berkeley Group, has become the second highest paid FTSE 100 boss after the housebuilder joined the top flight of London’s listed companies."
20150907161500-2110,2015-09-07,Glencore was the second biggest riser on the FTSE 100 this morning with shares almost 7 per cent higher after it announced plans to cut down debt by $10billion to reassure investors amid falling commodities’ prices.
20150908020000-1003,2015-09-08," Will the start of a new term – for politicians, school children and traders alike – hold more joy than the gloomy and overcast summer for the stock markets?"
20150908020000-2549,2015-09-08, Glencore's shares surged 10 per cent on news it is finally taking action on its mounting debt pile.
20150908020000-401,2015-09-08, The boss of the Serious Fraud Office has warned rogue bankers will be brought to justice with more individuals involved in rigging Libor interest rates likely to be charged this autumn.
20150908020000-793,2015-09-08,When Tesco bosses last went on a retreat it was for a brainstorming session at a remote holiday cottage in Norfolk.
20150908020000-937,2015-09-08,"The Chancellor’s tax on banks could raise more than double the amount the Treasury has forecast and must be better understood before it is implemented, according to a report."
20150908070000-1932,2015-09-08,Primark-owner Associated British Foods said the strong pound and falling sugar prices at its ingredients business has had a bigger-than-expected impact on profits.
20150908070000-553,2015-09-08,One of the UK’s most powerful shareholder groups has joined forces with a team of business heavy-hitters to launch a major crackdown on executive pay.
20150908094500-2280,2015-09-08,Gambling group Betfair and rival Paddy Power have agreed the terms of a £5billion merger to create a new Dublin-based online gaming giant to be called Paddy Power Betfair.
20150908094500-728,2015-09-08,"Premier Inn and Costa Coffee owner Whitbread has warned it will have to ramp up its prices over the next year in order to pay for the government's new living wage, as trading in August cooled."
20150908120000-1315,2015-09-08,"Housebuilder Berkeley Group got a boost today as it prepares to join the FTSE 100's ranks, following promotion at this month's indices review, after it said current trading remains strong."
20150908120000-402,2015-09-08,"CLOSE:The FTSE 100 rallied today, extending its gains from the previous session with a boost from better-than-expected eurozone Q2 GDP data and hope for further market stimulus on Chinese markets."
20150908124500-879,2015-09-08,Mitsui Sumitomo has swooped for Lloyd's of London insurer Amlin with a bid worth £3.5billion and become the latest Japanese firm to engage in large scale M&A activity overseas this summer.
20150908161500-402,2015-09-08,Former Sainsbury's boss Justin King has been confirmed in his first major role since leaving the supermarket group.
20150908170000-269,2015-09-08,Wine Rack and Bargain Booze owner Conviviality Retail has announced a £200million takeover to create a wholesale drinks giant with sales of more than £1.1billion.
20150909014500-1082,2015-09-09,Rolls-Royce has conceded sales of luxury vehicles have slowed in China due to falling demand amid the country’s economic turmoil.
20150909014500-1507,2015-09-09,Investors fear commodity prices could scupper mergers in the resources sector after Glencore’s U-turn on its debt mountain revealed the full effect of the rout.
20150909014500-2020,2015-09-09,Britons taking advantage of the cheap euro and lower petrol prices splashed out on holidays rather than visiting Whitbread’s Costa Coffee and Premier Inn chains.
20150909014500-2797,2015-09-09,Former stock market darling Oxford Instruments slid further down the slippery pole after the designer of high-tech tools and systems for research and industry lowered its expectations for the 2016 full-year due to super-conductor price pressure and tough industrial conditions in China.
20150909014500-356,2015-09-09,Marks & Spencer looks likely to scale back its international expansion plans in the wake of the economic turmoil in Asia and the troubles in the Middle East.
20150909014500-936,2015-09-09,Another London-listed insurer is set to fall into foreign hands after Amlin agreed to a £3.5billion takeover bid from a Japanese predator.
20150909100000-1111,2015-09-09,17.20 (close):Markets continued their bounce back today rallying for the third session in a row spurred on by economy-boosting measures in China and Japan.
20150909100000-1631,2015-09-09, Ryanair has hiked its full year profit forecast by a staggering 25 per cent after UK families took advantage of the strong pound this summer to escape the wet weather at home and fly to the baking hot Med.
20150909143000-253,2015-09-09,"London's blue chip share index surged today after new economy-boosting measures in China and Japan fuelled an Asian and European markets fightback following recent dramatic declines, with US stocks joining the party."
20150909143000-586,2015-09-09,Shares in Hargreaves Lansdown jumped today after a fall in annual profits at the funds platform firm was offset by an 18 per cent rise in assets under management and a hike in its dividend.
20150909183000-1071,2015-09-09,17.20 (close):Markets continued their bounce back today rallying for the third session in a row spurred on by economy-boosting measures in China and Japan.
20150909191500-243,2015-09-09,Barratt Developments has become the latest housebuilder to post a strong jump in annual profits and sales as demand for new homes rises thanks to low mortgage rates and the government’s support for the new-build market.
20150910001500-1595,2015-09-10, The new boss of embattled mobile payments group Monitise has stood down after only six months amid ballooning losses and a tumbling share price.
20150910001500-1959,2015-09-10,The UK’s use of drones has jumped to the top of the political agenda since the first targeted strike against British members of Isis in Syria.
20150910001500-2303,2015-09-10," China could plunge the rest of the world back into recession as its economy slows, experts have warned."
20150910001500-2731,2015-09-10,"Interest rates must stay at record lows ‘for as long as possible’ to protect Britain’s two-speed recovery from global threats, according to business leaders."
20150910100000-1437,2015-09-10," With Yoox and Net a Porter on the verge of completing their merger to create a £1.8bn online luxury fashion behemoth, it has been revealed that British luxury brands are shelling out for their own digital arms."
20150910100000-2316,2015-09-10,Close: Troubled supermarket Morrisons was under the microscope after revealing a 47% profits slump and more shop closures as the London market also saw its rebound hit the brakes.
20150910100000-654,2015-09-10," Britain's fourth biggest supermarket, Morrisons, has posted another slump in first-half profit and warned that it is set to close 11 stores with the potential loss of 900 jobs as part of plans to transform the company's fortunes."
20150910100000-667,2015-09-10,"Her Majesty, Queen Elizabeth, has become the longest-reigning monarch in British history, surpassing her great-great-grandmother Queen Victoria’s previous record reign of 63 years and 217 days."
20150910120000-455,2015-09-10,"Weak demand for televisions and tablet computers saw high street chain Argos suffer another slide in sales over the summer, although overall sales at owner Home Retail Group were helped by growth at DIY chain Homebase."
20150910123000-282,2015-09-10,John Lewis Partnership - the darling of the middle classes - today posted a 26 per cent slide in half-year profits after being hit by costs from its staff pension fund and warned full year results would also be sharply lower.
20150910123000-746,2015-09-10,Fashion retailer Next has become the latest company to say it could make its customers foot the bill for higher wages following the introduction of the National Living Wage.
20150910233000-1212,2015-09-10,John Lewis says it could lay off up to 250 warehouse workers as part of a lacklustre trading update that saw its half-year profits slump.
20150910233000-1736,2015-09-10,"Shares of Luxembourg-based office rental giant Regus, 1.1p off at 294.7p, were left simmering on the back burner but could soon be sizzling."
20150910233000-2010,2015-09-10,Morrisons is taking the drastic step of closing 11 supermarkets after half-year profits slumped to their lowest level in nine years.
20150910233000-2727,2015-09-10,Fitness fads and the collapse of its largest rival helped Dixons Carphone report a 10 per cent rise in British sales.
20150910233000-398,2015-09-10,Next credited a raft of time savings initiatives and closing five underperforming stores for boosting half-year results.
20150911093000-1879,2015-09-11,CLOSE:Markets ended the week down today as investors held back ahead of next week's decision by the US Federal Reserve on whether to raise interest rates.
20150911093000-722,2015-09-11,Shares in online fashion retailer Asos slumped more than 5 per cent yesterday after an institutional investor ditched some holdings.
20150911110000-443,2015-09-11,The boss of JD Wetherspoon today launched a fresh attack on the National Living Wage saying it will put 'financial pressure' on an already strained sector as the pubs firm posted a drop in profits.
20150911181500-46,2015-09-11,"Public expectations of a coming interest rate rise have risen to their highest level in four years, according to a survey published today by the Bank of England."
20150911214500-588,2015-09-11,"The price of oil could fall as low as $20, Goldman Sachs warned last night."
20150911220000-2386,2015-09-11, Britain's aerospace and defence industry has been given a boost with news of an 8bn euro (£5.8bn) agreement to sell Eurofighter Typhoon combat jets to Kuwait.
20150911230000-141,2015-09-11,The founder of Wetherspoon used a dismal set of financial figures for the pub chain to launch another broadside against paying staff higher wages.
20150911230000-1633,2015-09-11," Interest rates will rise ‘sooner rather than later’ despite signs the economic recovery is slowing, according to a senior Bank of England official."
20150911230000-508,2015-09-11,"Mining and commodities giant Glencore might have scaled dizzy heights to be among the top of the leader board of Britain’s biggest firms, but its 2.2 per cent share spurt masks a deeper problem."
20150912131500-1094,2015-09-12,Investors gave Victoria's £65million purchase of Lancashire underlay maker Interfloor their royal seal of approval on Friday.
20150912131500-417,2015-09-12,Constable Dogberry in Shakespeare’s Much Ado About Nothing mangles every word he utters - and so do many business leaders.
20150912131500-484,2015-09-12,Fund manager Neil Woodford has clawed in £30million from dumping shares in a British company during a £3.5billion takeover.
20150912131500-595,2015-09-12," AGA Rangemaster will fall into American hands despite the collapse of a bidding war last night, writes Ben Griffiths."
20150913223000-1237,2015-09-13,"New forms of credit such as peer-to-peer lending pose a ‘big threat’ to existing banks, according to a conference of credit experts."
20150913223000-1843,2015-09-13,"Pearson will not sell its stake in Penguin next month, as previously thought, opting instead to keep its holding for two years."
20150913223000-976,2015-09-13,"Directors at Pimco Europe, the UK arm of one of the world’s largest investment management firms, have shared in a £34.5million payout after a year in which turnover fell but profit still increased."
20150914081500-1518,2015-09-14,"Price Waterhouse Coopers, the accountancy firm that was dumped by Tesco in the wake of the grocer’s financial scandal, has set aside up to £12million to cover the cost of claims from disputes with clients."
20150914081500-2334,2015-09-14,"Interest rates need to rise as British wage increases pick up, a Bank of England policymaker said today, adding to signs that support is building for the first increase in British borrowing costs since before the financial crisis."
20150914081500-830,2015-09-14,FTSE CLOSE:The London market closed lower today after a choppy session as investors braced themselves for a potentially volatile week which will see the US Federal Reserve take a key decision on whether to raise interest rates.
20150914124500-2849,2015-09-14,Trinity Mirror - owner of the Mirror newspaper - saw its shares soar this morning after it confirmed it is in talks to buy out local newspaper group Local World for a reported £200million.
20150914171500-239,2015-09-14,The surge in the share price of technology firm CAP-XX over the past six months has been nothing short of spectacular.
20150914171500-406,2015-09-14,"Jermey Corbyn's Labour leadership election victory could push the UK closer to the European Union exit door, many in London's Square Mile believe."
20150914171500-571,2015-09-14, Discount chain Poundworld has revealed record annual sales and profits alongside plans to continue its rapid expansion by opening 60 new stores a year from next year.
20150914220000-1009,2015-09-14,Britain and the United States were at the epicentre of the financial crisis that claimed Lehman Brothers seven years ago today.
20150914220000-1426,2015-09-14,European shares were on the slide again today after stocks in Asia and the US closed lower as investors remained cautious ahead of the Federal Reserve' s policy meeting this week.
20150914220000-1910,2015-09-14, Telecoms tycoon Sir Charles Dunstone is piling more on his plate as he continues his move into ‘fast casual’ restaurants with a deal to bring American chain MOD Pizza to the UK.
20150914220000-240,2015-09-14, British business leaders have launched a scathing attack on Jeremy Corbyn and warned an anti-enterprise government would derail the economy and cost jobs.
20150914220000-2560,2015-09-14," Thomas Cook could get swept up in a wave of mergers in the travel industry, according to City chatter."
20150914220000-2860,2015-09-14,Jon Moulton’s Better Capital was hit by two senior departures over the weekend.
20150915074500-526,2015-09-15,17.20 (close):B&Q owner Kingfisher topped the blue-chip fallers' board day after posting a drop in half-year profits.
20150915074500-588,2015-09-15," Pasties from Greggs helped Applegreen cook up higher profits, but the petrol forecourt retailer warned of a rougher ride ahead."
20150915110000-59,2015-09-15,"Online grocer Ocado saw its sales grow for a second straight quarter despite the market being gripped by a fierce price war, but its shares slipped as a lack of news on overseas deals weighed."
20150915124500-2598,2015-09-15,A US hedge fund specialising in ‘distressed’ firms has hiked its stake in Quindell to more than 5 per cent.
20150915124500-2894,2015-09-15,UK motor insurer Hastings Direct has unveiled plans to list on the London Stock Exchange and raise £180million in the process.
20150915124500-631,2015-09-15,DIY giant Kingfisher is on the verge of opening 200 more Screwfix stores after first-half profits across the group dipped but sales rose.
20150915174500-376,2015-09-15,Fashion giant H&M has posted its weakest monthly sales rise in almost two years as customers delayed buying autumn and winter clothing thanks to the unseasonably hot weather across Europe.
20150915174500-816,2015-09-15,17.20 (close):B&Q owner Kingfisher topped the blue-chip fallers' board day after posting a drop in half-year profits.
20150916033000-1246,2015-09-16,"Vodafone and Virgin Media-owner Liberty Global are at a stalemate months after the pair entered deal talks, according to cable tycoon John Malone."
20150916033000-1381,2015-09-16, James Bond and a record-breaking stunt were two secret weapons deployed as part of Britain’s automotive offensive at this week’s Frankfurt Motor Show.
20150916033000-2182,2015-09-16,The U.S. has been the success story in global stock markets in recent years — but fears are growing that the world’s biggest economy is starting to lose its shine.
20150916033000-516,2015-09-16,"partners, including chief executive Ivan Glasenberg who is Glencore’s second largest shareholder with more than 8 per cent of the company, to ensure they do not dilute their ownership."
20150916033000-619,2015-09-16,B&Q-owner Kingfisher said half year sales and profit fell due to weak trading in France and the impact of negative currency conversions.
20150916033000-791,2015-09-16,Nervy fund managers are sitting on cash levels not seen since Lehman Bros went bust in 2008.
20150916080000-2292,2015-09-16,17.15 (close):Markets toasted Peroni and Grolsch maker SAB Miller today as shares surged by a fifth after it disclosed a takeover approach by rival Anheuser-Busch InBev.
20150916174500-1190,2015-09-16,17.15 (close):Markets toasted Peroni and Grolsch maker SAB Miller today as shares surged by a fifth after it disclosed a takeover approach by rival Anheuser-Busch InBev.
20150916220000-1150,2015-09-16,"Model railway and Airfix kit-maker Hornby can’t seem to stay on track, hit yet again hit by distribution problems as well as an IT system short circuit."
20150916220000-185,2015-09-16,"The former boss of mining giant Anglo American is returning to the London listed-mining sector, three years after she exited amid shareholder pressure."
20150916220000-2345,2015-09-16,Zara-owner Inditex edged closer to world domination as it revealed store and website expansion helped the retailer to a 26 per cent jump in first-half net profit to £840million.
20150916220000-2637,2015-09-16,The top brass at debt-laden Glencore put their hands in their pockets to the tune of £356million as it raised £1.62billionn to stave off a credit downgrade.
20150916220000-278,2015-09-16,The brewing giant behind Budweiser has made a long-awaited approach for Peroni-making rival SABMiller to form a £177billion beer behemoth.
20150916220000-366,2015-09-16,"Housebuilding and construction specialist Galliford Try posted record results, the latest firm in its sector to have benefited from a booming property market."
20150916220000-710,2015-09-16,Britain’s second-largest designer of phone chips has warned it will make a loss in the first half of the year.
20150916220000-759,2015-09-16,Serco is selling an Indian division back to the private equity firm it bought it from – at a whopping loss.
20150917071500-945,2015-09-17,A British satellite telecoms firm says it has sold out of capacity across the Middle East from businesses and governments in the war-torn region.
20150917110000-329,2015-09-17,Alton Towers owner Merlin Entertainments has reported an increase in revenue and sales over the first nine months of its financial year despite its theme park arm under performing.
20150917121500-566,2015-09-17,"Close:The Footsie ended lower in nervous trading today as investors awaited the crucial US interest rate decision, due at 7pm London time, which could bring the first move for seven years, with engineering firms big fallers after a profit warning from FTSE 250-listed Rotork."
20150917170000-2659,2015-09-17," Insurance consolidator Phoenix has confirmed it is in talks to buy smaller rival Guardian Financial Services in a deal worth more than £1billion, continuing the deal frenzy sweeping the sector."
20150917170000-2701,2015-09-17,"Valves firm Rotork has seen its shares plummet 12 per cent after the firm issued a profit warning due to a number of cancelled and delayed projects, knocking other engineering stocks lower."
20150917220000-110,2015-09-17, Smoke signals spouting from City dealings rooms suggested Imperial Tobacco could soon set the market alight.
20150917220000-2742,2015-09-17, Entertainment One has suffered a major shareholder rebellion over an awards scheme that would hand shares worth £50m to a host of directors.
20150917220000-376,2015-09-17, The new owner of struggling department store chain British Home Stores has announced a raft of initiatives aimed at kick-starting growth.
20150917220000-505,2015-09-17, The dollar slammed into reverse last night after the Federal Reserve rejected the chance to raise interest rates in the United States for the first time in nearly a decade.
20150917220000-715,2015-09-17,"On the drive into town, a sign at the side of the road says ‘Mufulira: A place of abundance.’ The vast mineral riches in this part of Zambia’s Copperbelt tempted Glencore – then a little-known private commodities trader – to buy the Mopani copper mine in 2000."
20150918074500-1472,2015-09-18,Theme park owner Merlin Entertainments said the wet weather and memories of an accident on a roller-coaster at Alton Towers continue to weigh on the business.
20150918074500-1569,2015-09-18,17.30 (close):Global markets turned lower today after the US Federal Reserve's decision to hold interest rates in the world's biggest economy at close to zero left investors facing more months of uncertainty.
20150918074500-803,2015-09-18," The potential tie-up between two of the world’s biggest brewers, to form a £177bn beer behemoth, could trigger a lottery sized payday for advisers."
20150918123000-2251,2015-09-18,Shares in electronics group Premier Farnell bounced back slightly this morning after yesterday's slump following its second profits warning in two months.
20150918123000-2563,2015-09-18,"Britain's competition regulator has officially given the green light to Poundland’s £55million takeover of rival 99p Stores, after concludiing that the deal would not leave customers worse off."
20150918154500-1136,2015-09-18,"Interest rates may need to be slashed below zero to stave off another economic downturn, a senior Bank of England official warned yesterday."
20150918173000-2073,2015-09-18,Global markets have been on the slide today following yesterday's cautious statement by the Federal Reserve on the outlook for the US and world economy - with many traders and investors now questioning whether a rate hike will take place at all in 2015.
20150918173000-630,2015-09-18,17.30 (close):Global markets turned lower today after the US Federal Reserve's decision to hold interest rates in the world's biggest economy at close to zero left investors facing more months of uncertainty.
20150918214500-2254,2015-09-18,Shares around the world tumbled yesterday in the wake of the Federal Reserve’s decision to leave interest rates in the United States on hold.
20150918214500-2476,2015-09-18,Glencore shares fell nearly 5 per cent on Friday as City investor groups continued to warn that its £1.6bn equity placing breached rules.
20150918214500-907,2015-09-18,The company that processes almost half the credit card transactions in Britain is to list in a £6billion float.
20150918214500-998,2015-09-18,"SABMiller will be forced to sell its Chinese beer brand to clear competition hurdles as a result of its £177billion brewing takeover by ABInBev, analysts have warned."
20150919214500-1562,2015-09-19,Bed retailer Dreams has significantly upgraded profit forecasts for the year after a series of improvements triggered a surge in sales.
20150919214500-589,2015-09-19,"Sales and profits at The Savoy hotel have risen after the reopening of its main restaurant, Kaspar’s, and from improved trading at its other bars and dining areas."
20150919214500-736,2015-09-19,"Zombies seem to have scared away audiences from BT’s new drama channel, AMC from BT, which registered zero viewers according to the official audience survey."
20150919214500-889,2015-09-19,Virgin Rail Group saw sales break through the £1billion mark last year after a surge in passenger numbers and paid out a bumper £27million dividend to its parent companies.
20150920213000-992,2015-09-20,Traders’ attentions will today turn to the uncertainty of an expected coalition government in Greece.
20150921120000-2493,2015-09-21,"Clothes store French Connection has posted another loss, it announced today, after its Spring collection failed to excite shoppers."
20150921120000-2522,2015-09-21, 17.30:The FTSE 100 closed up just 4.60 points at 6108.71 as earlier gains dwindled during afternoon trading.
20150921120000-583,2015-09-21,Stephen Hester's RSA has seen its shares tank this morning after Swiss insurance giant Zurich pulled the plug on its £5.6billion takeover for the More Than owner.
20150921170000-409,2015-09-21,Shares in German car-maker Volkswagen plunged more than 20 per cent to levels not seen in more than a decade today after it emerged that the company had been cheating on US air pollution tests.
20150922021500-1611,2015-09-22,It is a sign of the times.
20150922021500-1809,2015-09-22,Shares in Volkswagen tumbled by nearly a quarter after it emerged the car-maker has been cheating on US air pollution tests for many years.
20150922021500-2056,2015-09-22,The Treasury has come under increased pressure over its decision to sell Royal Bank of Scotland shares at a £1.1billion loss for taxpayers.
20150922021500-2066,2015-09-22,An explosion at a port in North Eastern China has derailed a £5.6billion takeover bid for struggling RSA – and scuppered a potential £8.5million bonanza for its chief executive Stephen Hester.
20150922071500-1330,2015-09-22,A slowdown in China is continuing to hit the market for diamonds with the industry relying on the US and India for future growth.
20150922071500-964,2015-09-22,Standard Chartered could be hit with more penalties from US regulators over claims it violated sanctions against Iran as late as 2013.
20150922114500-284,2015-09-22,"Sainsbury's has again outperformed its ‘Big Four’ supermarket rivals, industry data for the last three months showed today, while the march of German discounters Aldi and Lidl has continued."
20150922121500-2186,2015-09-22, The drinks company that makes Irn-Bru has warned it is unlikely to grow its profits this year after the cold weather over the summer stopped people buying its fizzy drinks.
20150922121500-2783,2015-09-22,The roadside accident emergency group AA has sunk into the red after being hit with a hefty charge for refinancing its debt.
20150922121500-626,2015-09-22,"CLOSE: The FTSE-100 index at the close was down 172.87 at 5935.84 - down below the 6,000 barrier as fears over the Chinese economy led to falls across European markets."
20150922121500-960,2015-09-22,"The pound fell back against the dollar this morning as expectations for a US rate rise revived, while thoughts of a UK hike were dampened by further weak manufacturing data."
20150922164500-1320,2015-09-22,"Chinese-owned department stores group House of Fraser saw its first half earnings rise, but also admitted that sales were hit amid the washout August weather at the start of its third quarter."
20150922164500-1585,2015-09-22,"The FTSE 100 index fell by 2.8 per cent to slump back below the 6,000 barrier today as worries over the Chinese economy sent European markets plunging."
20150923023000-2113,2015-09-23,"The FTSE 100 index managed to recapture the 6,000 level in morning trade today, thanks to a recover in commodity stocks, as markets across Europe steadied after yesterday's dramatic sell-off."
20150923023000-2215,2015-09-23,Fund manager Aberdeen Asset Management is eyeing expansion in China after being granted a rare business licence by Shanghai authorities.
20150923023000-385,2015-09-23,"The bloodbath in commodities continued unabated with Glencore, the bloodiest of the blue-chip casualties, plunging by up to 14 per cent during the trading session as commodity prices sank on waning demand from China."
20150923023000-450,2015-09-23,BT yesterday launched a full-throated defence of its current structure by outlining the great benefits it could bring to Britain in the coming decade.
20150923114500-2530,2015-09-23, 17.30:The FTSE 100 closed up 96.40 points at 6032.24 as commodity stocks racked up gains despite more worrying economic figures from China.
20150923114500-468,2015-09-23,"Diageo has told investors it made a positive start to its financial year that met expectations, but the drinks giant warned its full-year profits could be hit if currency fluctuations persist."
20150923114500-545,2015-09-23,All Bar One and Harvester owner Mitchells & Butlers has ditched its chief executive and warned that upcoming full year results will be less than impressive.
20150923131500-1511,2015-09-23,Reinsurance giant Swiss Re is snapping up private equity-owned Guardian Financial Services for £1.6 billion continuing a wave of deals in the life and pensions sector but leaving UK-listed Phoenix Group out in the cold.
20150923164500-858,2015-09-23,"United Utilities has revealed the discovery of a parasitic bug in its water supplies will hit operating profits by £25million in the first half of its financial year, although its underlying performance is in line."
20150924020000-1416,2015-09-24,The Volkswagen diesel emissions crisis – which yesterday claimed the scalp of the German car-maker’s chief executive – could cost the firm £26billion.
20150924020000-1846,2015-09-24,"IAG basked in the spotlight, lifting sentiment with near-5 per cent gains for most of the session after Morgan Stanley rated the owner of Iberia and British Airways its top pick in the sector, as the broker updated forecasts to account for fuel and currency changes."
20150924020000-1956,2015-09-24,Long-awaited plans to float Santander UK on the stock market appear to have slipped further down the pecking order for its Spanish-owned parent.
